prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
diagnosis,Abdominal fibromatosis,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,Acinar cell carcinoma,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,Acute erythroid leukemia,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,"Acute leukemia, NOS",,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,Acute Leukemias of Ambiguous Lineage,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,"Acute Lymphoblastic Leukemia, NOS",,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,Acute megakaryoblastic leukemia,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,Acute monocytic leukemia,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,Acute myeloid leukemia with abnormal marrow eosinophils,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,Acute myeloid leukemia with biallelic mutation of CEBPA,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,Acute myeloid leukemia with mutated NPM1,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,Acute myeloid leukemia with myelodysplasia-related changes,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,Acute myeloid leukemia without maturation,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,"Acute myeloid leukemia, 11q23 abnormalities",,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,"Acute myeloid leukemia, minimal differentiation",,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,"Acute myeloid leukemia, NOS",,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,"Acute myeloid leukemia, t(8;21)(q22;q22)",,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,"Acute myelomonocytic leukemia, NOS",,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,"Acute promyelocytic leukemia, t(15;17)(q22;q11-12)",,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
diagnosis,Adamantinoma of long bones,,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",,,
